x,y,z,Annot,hyb,bp
3.8560461514039526,3.2514313553739225,1.9451044764356429,TP,0,0
3.8594461514039526,3.2514313553739225,1.9451044764356429,Fiber,-1,1
3.862794540003368,3.2508618280792,1.9449497752789882,Fiber,-1,2
3.8661541415437592,3.2503561972969552,1.9448178093672979,Fiber,-1,3
3.869551120729413,3.2503722729247104,1.9449601961167637,Fiber,-1,4
3.872902462246992,3.2507311539880472,1.9454070903043912,Fiber,-1,5
3.8762306951972856,3.251124151829862,1.945980168069538,Fiber,-1,6
3.8794485686892144,3.251563873658786,1.9469861178213204,Fiber,-1,7
3.882720672621456,3.2518172250591766,1.9478744583666787,Fiber,-1,8
3.8860245186852747,3.252259456419152,1.9485445573226896,Fiber,-1,9
3.8893243503554134,3.252882212481178,1.9490768033522285,Fiber,-1,10
3.89270154509667,3.2531511893281606,1.9493635212195,Fiber,-1,11
3.896038625851477,3.253187547910744,1.9500135751321621,Fiber,-1,12
3.899411368784736,3.2530794915098626,1.9504294223641916,Fiber,-1,13
3.902777836785974,3.2527204010908757,1.9507423876460204,Fiber,-1,14
3.9061571191022963,3.2529957816444846,1.9509965855557034,Fiber,-1,15
3.909478226465538,3.2524762949212187,1.9515068594293916,Fiber,-1,16
3.912808276450646,3.2518920981205173,1.9518666943842427,Fiber,-1,17
3.916137399268622,3.2512408783996696,1.952096594662648,Fiber,-1,18
3.919254571087146,3.2504594230208794,1.9532068051583458,Fiber,-1,19
3.9222110342358047,3.249324527813026,1.9544442777915043,Fiber,-1,20
3.925257432636352,3.248930291699966,1.955901684622936,Fiber,-1,21
3.92817499047187,3.248554666690877,1.9576066075329093,Fiber,-1,22
3.9309533992033496,3.2476987347038633,1.9593695100697632,Fiber,-1,23
3.9337949885859147,3.246922413975693,1.9610673604483018,Fiber,-1,24
3.9366519569918426,3.246476690176096,1.9628559525823581,Fiber,-1,25
3.939588142757176,3.24660653756491,1.9645653246328698,Fiber,-1,26
